City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind_Speed,date
Muroto-misakicho,JP,33.2833,134.15,28.02,75,100,1.49,1630898985
Kyabram,AU,-36.3167,145.05,17.15,52,1,4.71,1630898986
Basco,PH,20.4487,121.9702,29.27,77,11,5.9,1630898986
Hobyo,SO,5.3505,48.5268,25.02,85,100,8.9,1630898987
Sola,VU,-13.8833,167.55,26.37,83,75,0.0,1630898987
Sistranda,NO,63.7256,8.834,10.98,79,100,5.54,1630898987
Gobabis,NA,-22.45,18.9667,13.66,15,10,3.01,1630898988
Naze,JP,28.3667,129.4833,29.51,73,99,2.44,1630898988
Binga,ZW,-17.6203,27.3414,19.88,47,0,1.32,1630898989
Hamilton,US,39.1834,-84.5333,16.66,88,1,0.0,1630898794
Palembang,ID,-2.9167,104.7458,29.05,79,20,2.06,1630898915
Xapuri,BR,-10.6517,-68.5044,25.83,74,82,1.2,1630898989
Mujiayingzi,CN,42.1167,118.7833,12.32,91,100,2.1,1630898990
Tautira,PF,-17.7333,-149.15,28.01,74,28,4.98,1630898990
Mahon,ES,39.8885,4.2658,22.31,100,0,0.51,1630898955
Poum,NC,-20.2333,164.0167,22.3,70,2,5.65,1630898991
Chokurdakh,RU,70.6333,147.9167,8.1,88,100,11.56,1630898991
Lavrentiya,RU,65.5833,-171.0,3.59,77,100,2.75,1630898991
Bowen,AU,-20.0167,148.2333,24.12,60,20,7.77,1630898992
Mitú,CO,1.1983,-70.1733,22.55,98,100,0.64,1630898737
Yumen,CN,40.2833,97.2,23.23,21,0,4.53,1630898992
Esperance,AU,-33.8667,121.9,18.91,47,0,5.02,1630898992
Ostrovnoy,RU,68.0531,39.5131,5.27,79,100,11.62,1630898993
Nguru,NG,12.8791,10.4526,25.69,65,98,6.41,1630898993
Tiznit Province,MA,29.5833,-9.5,24.92,47,50,0.82,1630898993
Polson,US,47.6936,-114.1632,21.39,44,3,1.52,1630898995
Lorengau,PG,-2.0226,147.2712,29.33,70,48,2.76,1630898995
Constitución,CL,-35.3333,-72.4167,10.44,92,89,2.7,1630898756
Ust-Tsilma,RU,65.441,52.1498,4.83,97,100,6.2,1630898996
Soe,ID,-9.8607,124.284,26.33,51,100,4.88,1630898996
Tabory,RU,58.5198,64.5495,8.35,70,32,4.68,1630898997
Cascais,PT,38.6979,-9.4215,20.27,76,84,1.34,1630898997
Tongliao,CN,43.6125,122.2653,17.45,87,100,1.74,1630898998
Touros,BR,-5.1989,-35.4608,24.5,79,2,6.02,1630898998
Lapua,FI,62.9693,23.0088,1.38,96,100,1.41,1630898998
Zasosna,RU,50.6307,38.3965,4.99,79,7,2.32,1630898999
Sokółka,PL,53.4072,23.5023,4.69,79,86,1.07,1630898999
La Ronge,CA,55.1001,-105.2842,16.14,72,75,3.09,1630898999
Tarakan,ID,3.3,117.6333,29.72,74,40,2.06,1630899000
Gračanica,BA,44.7033,18.3097,9.25,60,66,0.67,1630899000
Lashio,MM,22.9333,97.75,24.44,81,97,0.55,1630899001
Puri,IN,19.8,85.85,29.35,79,100,7.53,1630899001
Mitsamiouli,KM,-11.3847,43.2844,22.16,78,20,2.57,1630899003
Jiayuguan City,CN,39.8167,98.3,21.96,17,0,0.39,1630899003
Akureyri,IS,65.6835,-18.0878,10.96,62,75,3.09,1630898931
Kupang,ID,-10.1667,123.5833,33.32,43,20,8.23,1630899006
Jinchang,CN,38.4953,102.1739,21.09,20,0,0.52,1630899007
El Salvador,SV,13.8333,-88.9167,22.22,95,93,0.48,1630898817
Batagay,RU,67.6333,134.6333,13.35,41,64,2.25,1630899007
Perelyub,RU,51.8667,50.3667,12.02,49,83,0.78,1630899008
Yerofey Pavlovich,RU,53.9667,121.9667,15.47,85,100,2.76,1630899008
At-Bashi,KG,41.1702,75.8106,19.06,36,0,1.62,1630899009
Pamatawan,PH,14.9278,120.2136,31.76,66,75,3.6,1630899009
Colombia,CU,20.9881,-77.4297,22.4,92,96,3.34,1630899010
Aklavik,CA,68.2191,-135.0107,11.46,94,100,4.88,1630899010
Srednekolymsk,RU,67.45,153.6833,4.55,88,100,11.18,1630899011
Pemba,MZ,-12.974,40.5178,24.04,69,6,5.84,1630899011
Brae,GB,60.3964,-1.353,12.95,97,100,4.9,1630899012
Oranjemund,NA,-28.55,16.4333,11.42,90,2,5.47,1630899013
Narsaq,GL,60.9167,-46.05,7.12,48,0,2.11,1630899014
Qiongshan,CN,20.0058,110.3542,29.99,74,75,1.0,1630899015
Necochea,AR,-38.5473,-58.7368,9.46,91,21,3.99,1630899016
Vanimo,PG,-2.6741,141.3028,29.14,73,30,3.04,1630899016
Ancud,CL,-41.8697,-73.8203,7.74,81,99,4.95,1630899016
Ternate,ID,0.8,127.4,28.4,72,99,4.34,1630899017
Carutapera,BR,-1.195,-46.02,25.08,86,45,3.44,1630899017
Santa Maria,BR,-29.6842,-53.8069,11.61,100,40,0.0,1630899018
Moberly,US,39.4184,-92.4382,19.41,76,1,1.54,1630899018
Vila,PT,42.0304,-8.1588,17.11,68,54,2.4,1630899019
Gualaca,PA,8.5333,-82.3,24.26,92,100,0.61,1630899019
Iqaluit,CA,63.7506,-68.5145,4.85,87,75,5.14,1630898780
Challans,FR,46.8436,-1.8749,17.04,74,6,3.57,1630899020
Pedraza,CO,10.1874,-74.915,24.65,88,72,1.57,1630899020
Santa Cruz de La Palma,ES,28.6835,-17.7642,23.08,78,0,2.57,1630899020
Yangjiang,CN,21.85,111.9667,31.52,63,11,1.91,1630899021
College,US,64.8569,-147.8028,10.39,81,90,3.09,1630898947
Selty,RU,57.3132,52.1345,6.13,91,99,3.08,1630899021
Oranjestad,AW,12.524,-70.027,27.97,83,20,6.69,1630899022
Chas,IN,23.6333,86.1667,30.3,68,97,5.51,1630899022
Pauini,BR,-7.7136,-66.9764,23.37,87,50,0.73,1630899022
Arrondissement d'Ajaccio,FR,42.0,8.9167,15.38,77,0,3.09,1630899023
Healdsburg,US,38.6105,-122.8692,19.93,53,1,1.79,1630899023
Novaya Bryan’,RU,51.7159,108.2691,6.43,74,100,1.92,1630899024
Katangli,RU,51.7102,143.2326,18.42,53,3,3.82,1630899024
Isangel,VU,-19.55,169.2667,26.06,65,75,6.17,1630899024
Denpasar,ID,-8.65,115.2167,28.81,79,40,6.17,1630898539
Krivosheino,RU,57.3431,83.9261,14.93,55,1,2.89,1630899025
Mareeba,AU,-17.0,145.4333,25.81,57,16,4.64,1630899025
Dunedin,NZ,-45.8742,170.5036,13.81,49,96,6.08,1630899026
Bitung,ID,1.4451,125.1824,33.47,75,67,6.73,1630899026
Hervey Bay,AU,-25.2986,152.8535,24.06,49,100,6.65,1630899026
Chechat,IN,24.7667,75.8833,28.96,70,23,1.48,1630899027
Loandjili,CG,-4.7561,11.8578,22.06,94,75,0.0,1630899027
Selçuk,TR,37.9514,27.3685,22.0,81,0,2.66,1630899028
Arrondissement de Pontivy,FR,48.0,-3.0,17.31,89,7,2.61,1630899028
São Filipe,CV,14.8961,-24.4956,25.97,85,10,2.78,1630899028
Akdepe,TM,42.0551,59.3788,21.05,28,0,6.76,1630899029
Elko,US,41.0002,-115.5012,19.99,10,0,2.68,1630899029
Porto-Novo,BJ,6.4965,2.6036,25.9,93,100,2.64,1630899029
Radcliff,US,37.8404,-85.9491,17.61,91,1,0.0,1630899030
Thinadhoo,MV,0.5333,72.9333,28.49,71,82,4.87,1630899030
Salalah,OM,17.0151,54.0924,26.05,94,90,1.03,1630899031
Galle,LK,6.0367,80.217,26.75,84,100,6.91,1630898820
Chase,CA,50.8165,-119.6857,17.06,68,92,1.19,1630899031
São Geraldo do Araguaia,BR,-6.4006,-48.555,24.96,73,55,0.04,1630899031
Yueyang,CN,29.3333,113.0919,28.5,71,79,6.65,1630899032
Tigil',RU,57.8,158.6667,10.99,91,100,0.47,1630899032
Kloulklubed,PW,7.0419,134.2556,31.28,69,50,5.85,1630899033
Bagotville,AU,-28.9833,153.4167,19.61,40,0,3.95,1630899033
Biała Podlaska,PL,52.0324,23.1165,6.18,76,64,1.26,1630899033
Huambo,AO,-12.7761,15.7392,14.74,51,2,1.68,1630899034
Ust-Nera,RU,64.5667,143.2,11.19,34,19,2.63,1630899034
Coahuayana Viejo,MX,18.7333,-103.6833,25.37,89,100,1.59,1630899034
Sisimiut,GL,66.9395,-53.6735,4.93,61,45,3.95,1630899035
Abatskiy,RU,56.2875,70.4555,15.39,35,20,4.68,1630899035
Shingū,JP,33.7333,135.9833,27.17,80,97,4.05,1630899036
Marawi,PH,7.9986,124.2928,23.69,86,98,1.44,1630899036
North Mankato,US,44.1733,-94.0339,16.41,63,1,1.54,1630899037
San Juan,AR,-31.5375,-68.5364,18.74,44,2,0.57,1630899002
Vardø,NO,70.3705,31.1107,5.31,71,98,2.56,1630899037
Maravilha,BR,-26.7608,-53.1725,12.72,95,0,1.09,1630899038
Sept-Îles,CA,50.2001,-66.3821,11.7,89,90,1.79,1630899038
Saint George,US,37.1041,-113.5841,33.42,19,1,1.79,1630899038
Riyadh,SA,24.6877,46.7219,27.08,14,0,0.93,1630898779
Songkhla,TH,6.8333,100.6667,31.03,49,83,1.78,1630899039
Okhotsk,RU,59.3833,143.3,16.42,39,5,4.29,1630899039
Agadir,MA,30.4202,-9.5982,20.25,54,28,1.47,1630899040
Ilulissat,GL,69.2167,-51.1,2.01,64,66,6.17,1630898957
Little Current,CA,45.9793,-81.9248,15.31,75,7,6.44,1630899015
Batemans Bay,AU,-35.7167,150.1833,16.81,39,0,6.36,1630899022
Seydişehir,TR,37.4193,31.8453,15.14,44,3,1.88,1630899041
Point Pleasant,US,40.0832,-74.0682,21.12,88,75,0.89,1630899041
Kelowna,CA,49.8831,-119.4857,18.23,77,65,0.21,1630898915
Bubaque,GW,11.2833,-15.8333,26.44,82,22,3.62,1630899042
Ziway,ET,7.9333,38.7167,16.65,87,100,3.11,1630899042
Malbork,PL,54.0359,19.0266,7.69,78,20,2.86,1630899042
Yulara,AU,-25.2406,130.9889,18.91,22,0,8.75,1630899043
Mana,GF,5.6592,-53.7767,25.6,87,72,4.26,1630899043
Kolokani,ML,13.5728,-8.0339,21.27,92,65,3.44,1630899044
Karratha,AU,-20.7377,116.8463,28.18,25,0,13.0,1630899044
Inhambane,MZ,-23.865,35.3833,19.99,100,20,0.0,1630899044
Boyolangu,ID,-8.1181,111.8935,29.22,60,87,4.51,1630899045
Guangzhou,CN,23.1167,113.25,32.97,49,38,1.24,1630898766
Reconquista,AR,-29.15,-59.65,17.84,63,37,3.65,1630899015
Kuching,MY,1.55,110.3333,32.12,58,40,2.06,1630899045
Lichuan,CN,30.3,108.85,23.73,81,52,0.41,1630899046
Acaraú,BR,-2.8856,-40.12,25.44,85,52,6.73,1630898908
Aljezur,PT,37.3191,-8.8033,19.92,86,100,1.53,1630899046
Trincomalee,LK,8.5711,81.2335,28.96,69,100,8.2,1630899047
Masalli,KR,34.7959,126.6553,23.82,89,100,6.74,1630899047
Kidal,ML,18.4411,1.4078,28.23,50,15,4.41,1630899047
Vanavara,RU,60.34,102.2797,5.53,88,100,2.25,1630899048
Pochutla,MX,15.7432,-96.4661,26.01,89,98,1.37,1630899048
Iglino,RU,54.8324,56.4126,5.05,54,100,3.99,1630899049
Kremsmünster,AT,48.0529,14.1292,10.85,78,0,0.33,1630899049
Oistins,BB,13.0667,-59.5333,24.05,94,20,1.54,1630899049
Brandon,US,27.9378,-82.2859,25.69,91,1,0.89,1630898808
Husavik,IS,66.0449,-17.3389,10.95,70,6,3.78,1630899050
Jerome,US,42.7241,-114.5186,19.41,35,1,0.89,1630899050
Christchurch,NZ,-43.5333,172.6333,16.45,41,100,1.79,1630898958
Santa Lucía,ES,27.9117,-15.5407,18.45,82,0,2.06,1630899051
Bilma,NE,18.6853,12.9164,30.19,15,87,5.45,1630899051
Mobaye,CF,4.319,21.1786,20.4,98,98,0.97,1630899052
Ovalle,CL,-30.5983,-71.2003,11.49,77,81,0.54,1630899052
Balabac,PH,7.9868,117.0645,29.41,71,100,3.56,1630899053
Kano,NG,12.0001,8.5167,21.94,100,0,3.6,1630899053
Zhezkazgan,KZ,47.8043,67.7144,20.01,31,0,7.52,1630899053
Bālurghāt,IN,25.2167,88.7667,28.11,79,100,4.42,1630899054
West Wendover,US,40.7391,-114.0733,25.56,15,1,0.0,1630899054
Piaçabuçu,BR,-10.4056,-36.4344,24.66,69,98,3.29,1630899056
Saint-Pierre,RE,-21.3393,55.4781,19.2,66,28,3.6,1630899056
Kirakira,SB,-10.4544,161.9205,27.4,80,98,4.07,1630899056
Deputatsky,RU,69.3,139.9,5.09,83,100,13.42,1630899057
Caravelas,BR,-17.7125,-39.2481,23.23,91,5,3.89,1630899057
Katsuura,JP,35.1333,140.3,21.06,76,98,8.75,1630899058
Kokopo,PG,-4.352,152.2633,29.99,63,18,5.71,1630899058
Opotiki,NZ,-38.0833,177.2833,13.08,75,77,3.97,1630899058
Lerwick,GB,60.1545,-1.1494,13.0,96,98,5.06,1630899059
Muros,ES,42.7762,-9.0603,20.07,76,84,2.87,1630899059
Pokaran,IN,26.9167,71.9167,32.61,56,84,3.6,1630899060
Poddor'ye,RU,57.4695,31.1156,5.2,84,100,2.99,1630899060
Altamirano,MX,16.8833,-92.15,14.33,98,100,1.12,1630899061
Pringsewu,ID,-5.3582,104.9744,32.05,51,60,2.56,1630899061
Hokitika,NZ,-42.7167,170.9667,11.88,83,100,8.74,1630899061
Tyumentsevo,RU,53.3224,81.498,25.73,21,0,3.11,1630899062
Sarangani,PH,5.4033,125.4636,28.97,72,96,5.4,1630899062
Subkhankulovo,RU,54.5574,53.8115,10.33,66,98,2.48,1630899063
Manzhouli,CN,49.6,117.4333,13.84,48,100,3.61,1630898936
Ankazoabo,MG,-22.2833,44.5167,17.26,66,0,2.56,1630899063
Merrill,US,45.1805,-89.6835,13.4,87,40,0.0,1630899064
Brazzaville,CG,-4.2658,15.2832,24.2,73,75,2.06,1630898791
Payson,US,40.0444,-111.7321,20.81,31,1,1.54,1630899064
